n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

100.0000000000       7922816251426434200000000000.0000000000 	 790408728675301060000.0000000000	 1.5707962270         0.0000000998         1.5707961273         -1.3962632021        1.3962632021         1.7453290525        
100.1000000000       8487221656374489100000000000.0000000000 	 829372401169397580000.0000000000	 1.5707962291         0.0000000977         1.5707961314         -1.3962632062        1.3962632062         1.7453290566        
100.2000000000       9091838697638713500000000000.0000000000 	 870256811275758340000.0000000000	 1.5707962311         0.0000000957         1.5707961354         -1.3962632102        1.3962632102         1.7453290606        
100.3000000000       9739532607559984300000000000.0000000000 	 913156642907344990000.0000000000	 1.5707962330         0.0000000938         1.5707961393         -1.3962632141        1.3962632141         1.7453290645        
100.4000000000       10433372798875464000000000000.0000000000 	 958171247477417050000.0000000000	 1.5707962350         0.0000000918         1.5707961431         -1.3962632179        1.3962632179         1.7453290683        
100.5000000000       11176647416393558000000000000.0000000000 	 1005404873986757200000.0000000000	 1.5707962368         0.0000000900         1.5707961469         -1.3962632217        1.3962632217         1.7453290721        
100.6000000000       11972878925851914000000000000.0000000000 	 1054966910453187600000.0000000000	 1.5707962387         0.0000000881         1.5707961506         -1.3962632254        1.3962632254         1.7453290758        
100.7000000000       12825840813891607000000000000.0000000000 	 1106972137242496900000.0000000000	 1.5707962405         0.0000000863         1.5707961542         -1.3962632290        1.3962632290         1.7453290794        
100.8000000000       13739575478351604000000000000.0000000000 	 1161540992887469200000.0000000000	 1.5707962423         0.0000000845         1.5707961577         -1.3962632325        1.3962632325         1.7453290829        
100.9000000000       14718413393733821000000000000.0000000000 	 1218799853010620800000.0000000000	 1.5707962440         0.0000000828         1.5707961612         -1.3962632360        1.3962632360         1.7453290864        
101.0000000000       15766993642738177000000000000.0000000000 	 1278881322996599600000.0000000000	 1.5707962457         0.0000000811         1.5707961646         -1.3962632394        1.3962632394         1.7453290898        
101.1000000000       16890285911247425000000000000.0000000000 	 1341924545092048700000.0000000000	 1.5707962473         0.0000000794         1.5707961679         -1.3962632427        1.3962632427         1.7453290931        
101.2000000000       18093614051083700000000000000.0000000000 	 1408075520644138700000.0000000000	 1.5707962490         0.0000000778         1.5707961712         -1.3962632460        1.3962632460         1.7453290964        
101.3000000000       19382681322296195000000000000.0000000000 	 1477487448224043900000.0000000000	 1.5707962506         0.0000000762         1.5707961743         -1.3962632491        1.3962632491         1.7453290995        
101.4000000000       20763597434706744000000000000.0000000000 	 1550321078418418400000.0000000000	 1.5707962521         0.0000000747         1.5707961775         -1.3962632523        1.3962632523         1.7453291027        
101.5000000000       22242907516975931000000000000.0000000000 	 1626745086110529000000.0000000000	 1.5707962537         0.0000000731         1.5707961805         -1.3962632553        1.3962632553         1.7453291057        
101.6000000000       23827623150596359000000000000.0000000000 	 1706936461113211000000.0000000000	 1.5707962552         0.0000000716         1.5707961835         -1.3962632583        1.3962632583         1.7453291087        
101.7000000000       25525255616016082000000000000.0000000000 	 1791080918058311100000.0000000000	 1.5707962566         0.0000000702         1.5707961865         -1.3962632613        1.3962632613         1.7453291117        
101.8000000000       27343851508589736000000000000.0000000000 	 1879373326491874000000.0000000000	 1.5707962581         0.0000000687         1.5707961893         -1.3962632641        1.3962632641         1.7453291145        
101.9000000000       29292030893297893000000000000.0000000000 	 1972018162171130400000.0000000000	 1.5707962595         0.0000000673         1.5707961921         -1.3962632670        1.3962632670         1.7453291173        
102.0000000000       31379028179219739000000000000.0000000000 	 2069229980608441600000.0000000000	 1.5707962609         0.0000000659         1.5707961949         -1.3962632697        1.3962632697         1.7453291201        
102.1000000000       33614735907647503000000000000.0000000000 	 2171233913958875500000.0000000000	 1.5707962622         0.0000000646         1.5707961976         -1.3962632724        1.3962632724         1.7453291228        
102.2000000000       36009751661554402000000000000.0000000000 	 2278266192402154000000.0000000000	 1.5707962635         0.0000000633         1.5707962003         -1.3962632751        1.3962632751         1.7453291255        
102.3000000000       38575428318937047000000000000.0000000000 	 2390574691226438100000.0000000000	 1.5707962648         0.0000000620         1.5707962029         -1.3962632777        1.3962632777         1.7453291281        
102.4000000000       41323927888417920000000000000.0000000000 	 2508419504880932600000.0000000000	 1.5707962661         0.0000000607         1.5707962054         -1.3962632802        1.3962632802         1.7453291306        
102.5000000000       44268279182489949000000000000.0000000000 	 2632073549326763700000.0000000000	 1.5707962673         0.0000000595         1.5707962079         -1.3962632827        1.3962632827         1.7453291331        
102.6000000000       47422439601993029000000000000.0000000000 	 2761823194081100000000.0000000000	 1.5707962686         0.0000000582         1.5707962103         -1.3962632851        1.3962632851         1.7453291355        
102.7000000000       50801361324918868000000000000.0000000000 	 2897968925418268400000.0000000000	 1.5707962697         0.0000000570         1.5707962127         -1.3962632875        1.3962632875         1.7453291379        
102.8000000000       54421062213537361000000000000.0000000000 	 3040826042263768900000.0000000000	 1.5707962709         0.0000000559         1.5707962150         -1.3962632898        1.3962632898         1.7453291402        
102.9000000000       58298701776225618000000000000.0000000000 	 3190725386392802200000.0000000000	 1.5707962721         0.0000000547         1.5707962173         -1.3962632921        1.3962632921         1.7453291425        
103.0000000000       62452662544363387000000000000.0000000000 	 3348014108624367400000.0000000000	 1.5707962732         0.0000000536         1.5707962196         -1.3962632944        1.3962632944         1.7453291448        
103.1000000000       66902637250353544000000000000.0000000000 	 3513056472785364700000.0000000000	 1.5707962743         0.0000000525         1.5707962218         -1.3962632966        1.3962632966         1.7453291470        
103.2000000000       71669722220350986000000000000.0000000000 	 3686234699306585000000.0000000000	 1.5707962754         0.0000000514         1.5707962239         -1.3962632987        1.3962632987         1.7453291491        
103.3000000000       76776517424772741000000000000.0000000000 	 3867949850404270900000.0000000000	 1.5707962764         0.0000000504         1.5707962260         -1.3962633008        1.3962633008         1.7453291512        
103.4000000000       82247233661252954000000000000.0000000000 	 4058622758897238100000.0000000000	 1.5707962774         0.0000000493         1.5707962281         -1.3962633029        1.3962633029         1.7453291533        
103.5000000000       88107807378550727000000000000.0000000000 	 4258695002810588100000.0000000000	 1.5707962785         0.0000000483         1.5707962301         -1.3962633049        1.3962633049         1.7453291553        
103.6000000000       94386023686175756000000000000.0000000000 	 4468629928023097900000.0000000000	 1.5707962795         0.0000000473         1.5707962321         -1.3962633069        1.3962633069         1.7453291573        
103.7000000000       101111648133339920000000000000.0000000000 	 4688913721326630300000.0000000000	 1.5707962804         0.0000000464         1.5707962340         -1.3962633088        1.3962633088         1.7453291592        
103.8000000000       108316567882455170000000000000.0000000000 	 4920056536382643900000.0000000000	 1.5707962814         0.0000000454         1.5707962359         -1.3962633107        1.3962633107         1.7453291611        
103.9000000000       116034942946978100000000000000.0000000000 	 5162593675183412700000.0000000000	 1.5707962823         0.0000000445         1.5707962378         -1.3962633126        1.3962633126         1.7453291630        
104.0000000000       124303368211160300000000000000.0000000000 	 5417086827754078300000.0000000000	 1.5707962832         0.0000000436         1.5707962396         -1.3962633144        1.3962633144         1.7453291648        
104.1000000000       133161047000428610000000000000.0000000000 	 5684125372966565300000.0000000000	 1.5707962841         0.0000000427         1.5707962414         -1.3962633162        1.3962633162         1.7453291666        
104.2000000000       142649977025931170000000000000.0000000000 	 5964327743477891700000.0000000000	 1.5707962850         0.0000000418         1.5707962432         -1.3962633180        1.3962633180         1.7453291684        
104.3000000000       152815149585508480000000000000.0000000000 	 6258342857953939300000.0000000000	 1.5707962858         0.0000000410         1.5707962449         -1.3962633197        1.3962633197         1.7453291701        
104.4000000000       163704762966256430000000000000.0000000000 	 6566851623895552800000.0000000000	 1.5707962867         0.0000000401         1.5707962466         -1.3962633214        1.3962633214         1.7453291718        
104.5000000000       175370451061244600000000000000.0000000000 	 6890568514547343200000.0000000000	 1.5707962875         0.0000000393         1.5707962482         -1.3962633230        1.3962633230         1.7453291734        
104.6000000000       187867528285153750000000000000.0000000000 	 7230243223541175500000.0000000000	 1.5707962883         0.0000000385         1.5707962498         -1.3962633246        1.3962633246         1.7453291750        
104.7000000000       201255251950947080000000000000.0000000000 	 7586662401106280200000.0000000000	 1.5707962891         0.0000000377         1.5707962514         -1.3962633262        1.3962633262         1.7453291766        
104.8000000000       215597103352555570000000000000.0000000000 	 7960651475866901000000.0000000000	 1.5707962899         0.0000000369         1.5707962529         -1.3962633277        1.3962633277         1.7453291781        
104.9000000000       230961088887333720000000000000.0000000000 	 8353076566446533800000.0000000000	 1.5707962906         0.0000000362         1.5707962545         -1.3962633293        1.3962633293         1.7453291797        
105.0000000000       247420062647147800000000000000.0000000000 	 8764846487305859400000.0000000000	 1.5707962914         0.0000000354         1.5707962559         -1.3962633307        1.3962633307         1.7453291811        
105.1000000000       265052072008847670000000000000.0000000000 	 9196914853459651500000.0000000000	 1.5707962921         0.0000000347         1.5707962574         -1.3962633322        1.3962633322         1.7453291826        
105.2000000000       283940727864028540000000000000.0000000000 	 9650282288946964600000.0000000000	 1.5707962928         0.0000000340         1.5707962588         -1.3962633336        1.3962633336         1.7453291840        
105.3000000000       304175601244926700000000000000.0000000000 	 10125998744169198000000.0000000000	 1.5707962935         0.0000000333         1.5707962602         -1.3962633350        1.3962633350         1.7453291854        
105.4000000000       325852648228573670000000000000.0000000000 	 10625165927462713000000.0000000000	 1.5707962942         0.0000000326         1.5707962616         -1.3962633364        1.3962633364         1.7453291868        
105.5000000000       349074665135543510000000000000.0000000000 	 11148939856537297000000.0000000000	 1.5707962949         0.0000000319         1.5707962629         -1.3962633377        1.3962633377         1.7453291881        
105.6000000000       373951776183414760000000000000.0000000000 	 11698533535689302000000.0000000000	 1.5707962955         0.0000000313         1.5707962642         -1.3962633390        1.3962633390         1.7453291894        
105.7000000000       400601955909104160000000000000.0000000000 	 12275219764989628000000.0000000000	 1.5707962962         0.0000000306         1.5707962655         -1.3962633403        1.3962633403         1.7453291907        
105.8000000000       429151588839254260000000000000.0000000000 	 12880334087952294000000.0000000000	 1.5707962968         0.0000000300         1.5707962668         -1.3962633416        1.3962633416         1.7453291920        
105.9000000000       459736069064649750000000000000.0000000000 	 13515277884510123000000.0000000000	 1.5707962974         0.0000000294         1.5707962680         -1.3962633428        1.3962633428         1.7453291932        
