n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

20.0000000000        14654.2950973426     	 15120.6459854454    	 0.7697369146         0.8010594122         -0.0313224975        0.1622221914         -0.0995771964        0.0995771964        
20.1000000000        15666.9660197101     	 15866.0273010889    	 0.7790854536         0.7917108732         -0.0126254197        0.1435251136         -0.1182742742        0.1182742742        
20.2000000000        16749.8238849658     	 16648.1526358865    	 0.7884423878         0.7823539390         0.0060884488         0.1248112451         -0.1248112451        0.1369881427        
20.3000000000        17907.7453633450     	 17468.8333083072    	 0.7978043811         0.7729919457         0.0248124354         0.1060872585         -0.1060872585        0.1557121293        
20.4000000000        19145.9466832837     	 18329.9699268510    	 0.8071680872         0.7636282396         0.0435398475         0.0873598464         -0.0873598464        0.1744395414        
20.5000000000        20470.0073182635     	 19233.5567916539    	 0.8165301555         0.7542661713         0.0622639842         0.0686357097         -0.0686357097        0.1931636781        
20.6000000000        21885.8953286813     	 20181.6865130737    	 0.8258872375         0.7449090893         0.0809781483         0.0499215456         -0.0499215456        0.2118778422        
20.7000000000        23399.9944745502     	 21176.5548579513    	 0.8352359924         0.7355603344         0.0996756581         0.0312240358         -0.0312240358        0.2305753520        
20.8000000000        25019.1332229488     	 22220.4658347714    	 0.8445730931         0.7262232337         0.1183498594         0.0125498345         -0.0125498345        0.2492495533        
20.9000000000        26750.6157828200     	 23315.8370294993    	 0.8538952320         0.7169010948         0.1369941372         -0.0060944433        0.0060944433         0.2678938311        
21.0000000000        28602.2553090123     	 24465.2052044508    	 0.8631991269         0.7075971999         0.1556019271         -0.0247022332        0.0247022332         0.2865016210        
21.1000000000        30582.4094273995     	 25671.2321731620    	 0.8724815268         0.6983148000         0.1741667269         -0.0432670330        0.0432670330         0.3050664208        
21.2000000000        32700.0182435556     	 26936.7109648645    	 0.8817392171         0.6890571097         0.1926821075         -0.0617824136        0.0617824136         0.3235818014        
21.3000000000        34964.6450088497     	 28264.5722928413    	 0.8909690253         0.6798273015         0.2111417239         -0.0802420300        0.0802420300         0.3420414178        
21.4000000000        37386.5196300131     	 29657.8913416451    	 0.9001678260         0.6706285008         0.2295393252         -0.0986396313        0.0986396313         0.3604390191        
21.5000000000        39976.5852212709     	 31119.8948888962    	 0.9093325460         0.6614637808         0.2478687653         -0.1169690714        0.1169690714         0.3787684592        
21.6000000000        42746.5479120890     	 32653.9687781535    	 0.9184601693         0.6523361575         0.2661240118         -0.1352243179        0.1352243179         0.3970237057        
21.7000000000        45708.9301385243     	 34263.6657601655    	 0.9275477412         0.6432485856         0.2842991556         -0.1533994617        0.1533994617         0.4151988495        
21.8000000000        48877.1276621483     	 35952.7137206604    	 0.9365923732         0.6342039536         0.3023884196         -0.1714887257        0.1714887257         0.4332881135        
21.9000000000        52265.4705776246     	 37725.0243137301    	 0.9455912466         0.6252050802         0.3203861664         -0.1894864725        0.1894864725         0.4512858603        
22.0000000000        55889.2885883262     	 39584.7020208016    	 0.9545416166         0.6162547102         0.3382869064         -0.2073872125        0.2073872125         0.4691866003        
22.1000000000        59764.9808489719     	 41536.0536561764    	 0.9634408157         0.6073555111         0.3560853045         -0.2251856106        0.2251856106         0.4869849984        
22.2000000000        63910.0906952299     	 43583.5983411511    	 0.9722862569         0.5985100699         0.3737761869         -0.2428764930        0.2428764930         0.5046758808        
22.3000000000        68343.3856026765     	 45732.0779698175    	 0.9810754367         0.5897208901         0.3913545465         -0.2604548526        0.2604548526         0.5222542404        
22.4000000000        73084.9427415153     	 47986.4681907822    	 0.9898059377         0.5809903891         0.4088155486         -0.2779158547        0.2779158547         0.5397152425        
22.5000000000        78156.2405191625     	 50351.9899302344    	 0.9984754310         0.5723208958         0.4261545352         -0.2952548413        0.2952548413         0.5570542291        
22.6000000000        83580.2565303130     	 52834.1214830527    	 1.0070816782         0.5637146486         0.4433670297         -0.3124673358        0.3124673358         0.5742667236        
22.7000000000        89381.5723635409     	 55438.6111999481    	 1.0156225331         0.5551737937         0.4604487394         -0.3295490455        0.3295490455         0.5913484333        
22.8000000000        95586.4857449931     	 58171.4908000289    	 1.0240959432         0.5467003836         0.4773955596         -0.3464958657        0.3464958657         0.6082952535        
22.9000000000        102223.1305334557    	 61039.0893396157    	 1.0324999507         0.5382963761         0.4942035746         -0.3633038807        0.3633038807         0.6251032685        
23.0000000000        109321.6051171588    	 64048.0478696574    	 1.0408326936         0.5299636332         0.5108690605         -0.3799693666        0.3799693666         0.6417687544        
23.1000000000        116914.1098013105    	 67205.3348156939    	 1.0490924062         0.5217039205         0.5273884857         -0.3964887918        0.3964887918         0.6582881796        
23.2000000000        125035.0938166833    	 70518.2621159829    	 1.0572774194         0.5135189074         0.5437585119         -0.4128588180        0.4128588180         0.6746582058        
23.3000000000        133721.4126238183    	 73994.5021551653    	 1.0653861604         0.5054101663         0.5599759941         -0.4290763002        0.4290763002         0.6908756880        
23.4000000000        143012.4962347590    	 77642.1055326861    	 1.0734171534         0.4973791734         0.5760379799         -0.4451382860        0.4451382860         0.7069376738        
23.5000000000        152950.5293249014    	 81469.5197071198    	 1.0813690180         0.4894273088         0.5919417092         -0.4610420153        0.4610420153         0.7228414031        
23.6000000000        163580.6439617813    	 85485.6085595798    	 1.0892404695         0.4815558573         0.6076846122         -0.4767849183        0.4767849183         0.7385843061        
23.7000000000        174951.1258356659    	 89699.6729215166    	 1.0970303176         0.4737660092         0.6232643084         -0.4923646145        0.4923646145         0.7541640023        
23.8000000000        187113.6349389414    	 94121.4721144475    	 1.1047374652         0.4660588616         0.6386786037         -0.5077789098        0.5077789098         0.7695782976        
23.9000000000        200123.4417077790    	 98761.2465514989    	 1.1123609075         0.4584354193         0.6539254883         -0.5230257944        0.5230257944         0.7848251822        
24.0000000000        214039.6797107260    	 103629.7414531064   	 1.1198997302         0.4508965966         0.6690031336         -0.5381034397        0.5381034397         0.7999028275        
24.1000000000        228925.6160450325    	 108738.2317317935   	 1.1273531080         0.4434432188         0.6839098892         -0.5530101953        0.5530101953         0.8148095831        
24.2000000000        244848.9406830438    	 114098.5481036612   	 1.1347203030         0.4360760238         0.6986442793         -0.5677445854        0.5677445854         0.8295439732        
24.3000000000        261882.0760982394    	 119723.1044870583   	 1.1420006627         0.4287956641         0.7132049986         -0.5823053047        0.5823053047         0.8441046925        
24.4000000000        280102.5085938776    	 125624.9267518869   	 1.1491936178         0.4216027090         0.7275909089         -0.5966912150        0.5966912150         0.8584906028        
24.5000000000        299593.1428571558    	 131817.6828861208   	 1.1562986805         0.4144976463         0.7418010342         -0.6109013403        0.6109013403         0.8727007281        
24.6000000000        320442.6813687685    	 138315.7146494011   	 1.1633154419         0.4074808849         0.7558345569         -0.6249348630        0.6249348630         0.8867342508        
24.7000000000        342746.0304122394    	 145134.0707870149   	 1.1702435698         0.4005527569         0.7696908129         -0.6387911190        0.6387911190         0.9005905068        
24.8000000000        366604.7345499503    	 152288.5418811771   	 1.1770828067         0.3937135200         0.7833692867         -0.6524695928        0.6524695928         0.9142689806        
24.9000000000        392127.4415639512    	 159795.6969203264   	 1.1838329669         0.3869633599         0.7968696070         -0.6659699131        0.6659699131         0.9277693009        
25.0000000000        419430.4000000201    	 167672.9216711274   	 1.1904939341         0.3803023927         0.8101915414         -0.6792918475        0.6792918475         0.9410912353        
25.1000000000        448637.9916037021    	 175938.4589420432   	 1.1970656592         0.3737306676         0.8233349917         -0.6924352978        0.6924352978         0.9542346856        
25.2000000000        479883.3010978780    	 184611.4508317250   	 1.2035481577         0.3672481691         0.8362999885         -0.7054002946        0.7054002946         0.9671996824        
25.3000000000        513308.7259235513    	 193711.9830600616   	 1.2099415067         0.3608548201         0.8490866867         -0.7181869928        0.7181869928         0.9799863806        
25.4000000000        549066.6287497870    	 203261.1314845544   	 1.2162458432         0.3545504836         0.8616953596         -0.7307956657        0.7307956657         0.9925950535        
25.5000000000        587320.0357559327    	 213281.0109097449   	 1.2224613607         0.3483349661         0.8741263945         -0.7432267006        0.7432267006         1.0050260884        
25.6000000000        628243.3839003347    	 223794.8263027324   	 1.2285883071         0.3422080197         0.8863802874         -0.7554805935        0.7554805935         1.0172799813        
25.7000000000        672023.3206156778    	 234826.9265333917   	 1.2346269824         0.3361693444         0.8984576379         -0.7675579440        0.7675579440         1.0293573318        
25.8000000000        718859.5596128964    	 246402.8607637462   	 1.2405777355         0.3302185913         0.9103591443         -0.7794594504        0.7794594504         1.0412588382        
25.9000000000        768965.7967344350    	 258549.4376170899   	 1.2464409626         0.3243553642         0.9220855984         -0.7911859045        0.7911859045         1.0529852923        
26.0000000000        822570.6900746730    	 271294.7872638860   	 1.2522171041         0.3185792227         0.9336378813         -0.8027381874        0.8027381874         1.0645375752        
26.1000000000        879918.9088818625    	 284668.4265682278   	 1.2579066424         0.3128896844         0.9450169579         -0.8141172640        0.8141172640         1.0759166518        
26.2000000000        941272.2560733242    	 298701.3274457331   	 1.2635100997         0.3072862271         0.9562238726         -0.8253241787        0.8253241787         1.0871235665        
26.3000000000        1006910.8695353831   	 313425.9885911819   	 1.2690280357         0.3017682911         0.9672597446         -0.8363600507        0.8363600507         1.0981594385        
26.4000000000        1077134.5077431574   	 328876.5107420114   	 1.2744610451         0.2963352817         0.9781257634         -0.8472260695        0.8472260695         1.1090254573        
26.5000000000        1152263.9256245559   	 345088.6756519696   	 1.2798097556         0.2909865712         0.9888231845         -0.8579234906        0.8579234906         1.1197228784        
26.6000000000        1232642.3470094551   	 362100.0289578236   	 1.2850748259         0.2857215008         0.9993533251         -0.8684536312        0.8684536312         1.1302530190        
26.7000000000        1318637.0404509797   	 379949.9671310304   	 1.2902569434         0.2805393834         1.0097175599         -0.8788178660        0.8788178660         1.1406172538        
26.8000000000        1410641.0056831480   	 398679.8287157441   	 1.2953568220         0.2754395048         1.0199173172         -0.8890176233        0.8890176233         1.1508170111        
26.9000000000        1509074.7784900796   	 418332.9900644543   	 1.3003752007         0.2704211260         1.0299540747         -0.8990543808        0.8990543808         1.1608537686        
27.0000000000        1614388.3623088577   	 438954.9657929705   	 1.3053128415         0.2654834853         1.0398293562         -0.9089296623        0.9089296623         1.1707290501        
27.1000000000        1727063.2954735581   	 460593.5141873958   	 1.3101705271         0.2606257997         1.0495447274         -0.9186450335        0.9186450335         1.1804444213        
27.2000000000        1847614.8636345528   	 483298.7478071995   	 1.3149490599         0.2558472669         1.0591017931         -0.9282020992        0.9282020992         1.1900014870        
27.3000000000        1976594.4675579444   	 507123.2495405359   	 1.3196492599         0.2511470669         1.0685021929         -0.9376024990        0.9376024990         1.1994018868        
27.4000000000        2114592.1572279250   	 532122.1943805780   	 1.3242719628         0.2465243640         1.0777475989         -0.9468479050        0.9468479050         1.2086472928        
27.5000000000        2262239.3439433840   	 558353.4772048907   	 1.3288180192         0.2419783076         1.0868397117         -0.9559400178        0.9559400178         1.2177394056        
27.6000000000        2420211.7029226772   	 585877.8468537626   	 1.3332882924         0.2375080344         1.0957802581         -0.9648805642        0.9648805642         1.2266799520        
27.7000000000        2589232.2798110549   	 614759.0468180114   	 1.3376836573         0.2331126695         1.1045709878         -0.9736712939        0.9736712939         1.2354706817        
27.8000000000        2770074.8154277625   	 645063.9628620785   	 1.3420049988         0.2287913280         1.1132136708         -0.9823139769        0.9823139769         1.2441133647        
27.9000000000        2963567.3040987905   	 676862.7779242917   	 1.3462532108         0.2245431160         1.1217100949         -0.9908104010        0.9908104010         1.2526097888        
28.0000000000        3170595.8020012309   	 710229.1346530312   	 1.3504291948         0.2203671320         1.1300620628         -0.9991623689        0.9991623689         1.2609617567        
28.1000000000        3392108.5031012385   	 745240.3059552115   	 1.3545338584         0.2162624684         1.1382713901         -1.0073716962        1.0073716962         1.2691710840        
28.2000000000        3629120.1015051035   	 781977.3739520542   	 1.3585681149         0.2122282119         1.1463399029         -1.0154402090        1.0154402090         1.2772395968        
28.3000000000        3882716.4603675487   	 820525.4177565926   	 1.3625328812         0.2082634456         1.1542694356         -1.0233697418        1.0233697418         1.2851691295        
28.4000000000        4154059.6089193574   	 860973.7105077811   	 1.3664290779         0.2043672489         1.1620618290         -1.0311621351        1.0311621351         1.2929615229        
