n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

500.0000000000       9149404895206416400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 308502464743421130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.1000000000       9805108902812405700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 323710278832255340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.2000000000       10507805001439552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 339667771240690330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.3000000000       11260860970460181000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 356411897811265140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.4000000000       12067885948755264000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 373981436146951980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.5000000000       12932747732364210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 392417075415926520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.6000000000       13859591311820637000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 411761510583321460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.7000000000       14852858738020142000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 432059541288191290000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.8000000000       15917310411833632000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 453358175594675410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
500.9000000000       17058047899503499000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 475706738857638190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.0000000000       18280538383172874000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 499156987954905230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.1000000000       19590640863735119000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 523763231150646470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.2000000000       20994634241589375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 549582453867497120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.3000000000       22499247409888501000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 576674450658690240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.4000000000       24111691504511435000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 605101963685834520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.5000000000       25839694465328891000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 634930828023038540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.6000000000       27691538074408961000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 666230124123887120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.7000000000       29676097648681041000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 699072337804369980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.8000000000       31802884577298874000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 733533528112265120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
501.9000000000       34082091907577843000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 769693503471742940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.0000000000       36524643197993251000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 807636006511125080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.1000000000       39142244872384685000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 847448908001838700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.2000000000       41947442326292945000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 889224410357707690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.3000000000       44953680054339118000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 933059261165862800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.4000000000       48175366086828107000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 979054977243787560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
502.5000000000       51627941044412660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000 	 1027318079741388800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000000000	 1.5707963268         0.0000000000         1.5707963268         -1.4726215564        1.4726215564         1.6689710972        
